yearend,locationabbr,sample_size,age(years),classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2011,AL,356.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,16.3
2011,AL,598.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,35.2
2011,AL,865.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,35.5
2011,AL,1288.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,38.0
2011,AL,1676.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,36.4
2011,AL,2521.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,27.1
2011,AL,356.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,27.1
2011,AL,598.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,31.9
2011,AL,857.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,33.3
2011,AL,1286.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,35.8
2011,AL,1650.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,38.9
2011,AL,2520.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,39.0
2011,AL,2408.0,65 or older,FV,Q018,Age (years),65 or older,AGEYR,AGEYR65PLUS,35.4
2011,AL,1673.0,55 - 64,FV,Q018,Age (years),55 - 64,AGEYR,AGEYR5564,41.8
2011,AL,620.0,25 - 34,FV,Q018,Age (years),25 - 34,AGEYR,AGEYR2534,43.1
2011,AL,355.0,18 - 24,FV,Q018,Age (years),18 - 24,AGEYR,AGEYR1824,45.0
2011,AL,1299.0,45 - 54,FV,Q018,Age (years),45 - 54,AGEYR,AGEYR4554,47.6
2011,AL,876.0,35 - 44,FV,Q018,Age (years),35 - 44,AGEYR,AGEYR3544,50.1
2011,AL,361.0,18 - 24,FV,Q019,Age (years),18 - 24,AGEYR,AGEYR1824,31.4
2011,AL,611.0,25 - 34,FV,Q019,Age (years),25 - 34,AGEYR,AGEYR2534,25.6
2011,AL,869.0,35 - 44,FV,Q019,Age (years),35 - 44,AGEYR,AGEYR3544,23.8
2011,AL,1282.0,45 - 54,FV,Q019,Age (years),45 - 54,AGEYR,AGEYR4554,23.7
2011,AL,1664.0,55 - 64,FV,Q019,Age (years),55 - 64,AGEYR,AGEYR5564,21.6
2011,AL,2348.0,65 or older,FV,Q019,Age (years),65 or older,AGEYR,AGEYR65PLUS,21.6
2011,AL,352.0,18 - 24,PA,Q043,Age (years),18 - 24,AGEYR,AGEYR1824,49.4
2011,AL,611.0,25 - 34,PA,Q043,Age (years),25 - 34,AGEYR,AGEYR2534,41.9
2011,AL,856.0,35 - 44,PA,Q043,Age (years),35 - 44,AGEYR,AGEYR3544,41.8
2011,AL,1277.0,45 - 54,PA,Q043,Age (years),45 - 54,AGEYR,AGEYR4554,39.3
2011,AL,1721.0,55 - 64,PA,Q046,Age (years),55 - 64,AGEYR,AGEYR5564,16.8
2011,AL,1660.0,55 - 64,PA,Q043,Age (years),55 - 64,AGEYR,AGEYR5564,40.2
2011,AL,2435.0,65 or older,PA,Q043,Age (years),65 or older,AGEYR,AGEYR65PLUS,43.4
2011,AL,351.0,18 - 24,PA,Q044,Age (years),18 - 24,AGEYR,AGEYR1824,27.2
2011,AL,608.0,25 - 34,PA,Q044,Age (years),25 - 34,AGEYR,AGEYR2534,16.3
2011,AL,851.0,35 - 44,PA,Q044,Age (years),35 - 44,AGEYR,AGEYR3544,17.0
2011,AL,1274.0,45 - 54,PA,Q044,Age (years),45 - 54,AGEYR,AGEYR4554,12.4
2011,AL,1653.0,55 - 64,PA,Q044,Age (years),55 - 64,AGEYR,AGEYR5564,9.5
2011,AL,2408.0,65 or older,PA,Q044,Age (years),65 or older,AGEYR,AGEYR65PLUS,10.7
2011,AL,352.0,18 - 24,PA,Q045,Age (years),18 - 24,AGEYR,AGEYR1824,25.8
2011,AL,609.0,25 - 34,PA,Q045,Age (years),25 - 34,AGEYR,AGEYR2534,20.9
2011,AL,854.0,35 - 44,PA,Q045,Age (years),35 - 44,AGEYR,AGEYR3544,22.8
2011,AL,1275.0,45 - 54,PA,Q045,Age (years),45 - 54,AGEYR,AGEYR4554,22.1
2011,AL,1649.0,55 - 64,PA,Q045,Age (years),55 - 64,AGEYR,AGEYR5564,23.5
2011,AL,2413.0,65 or older,PA,Q045,Age (years),65 or older,AGEYR,AGEYR65PLUS,28.7
2011,AL,365.0,18 - 24,PA,Q046,Age (years),18 - 24,AGEYR,AGEYR1824,41.6
2011,AL,882.0,35 - 44,PA,Q046,Age (years),35 - 44,AGEYR,AGEYR3544,28.3
2011,AL,2512.0,65 or older,PA,Q046,Age (years),65 or older,AGEYR,AGEYR65PLUS,17.7
2011,AL,1312.0,45 - 54,PA,Q046,Age (years),45 - 54,AGEYR,AGEYR4554,20.3
2011,AL,623.0,25 - 34,PA,Q046,Age (years),25 - 34,AGEYR,AGEYR2534,28.3
2011,AL,369.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,22.5
2011,AL,628.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,27.2
2011,AL,887.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,29.8
2011,AL,1316.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,35.3
2011,AL,1729.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,37.9
2011,AL,2541.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,39.8
2012,AL,363.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,23.9
2012,AL,731.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,31.3
2012,AL,964.0,35 - 44,OWS,Q036,Age (years),35 - 44,AGEYR,AGEYR3544,34.1
2012,AL,1433.0,45 - 54,OWS,Q036,Age (years),45 - 54,AGEYR,AGEYR4554,39.7
2012,AL,2081.0,55 - 64,OWS,Q036,Age (years),55 - 64,AGEYR,AGEYR5564,40.3
2012,AL,3034.0,65 or older,OWS,Q036,Age (years),65 or older,AGEYR,AGEYR65PLUS,26.9
2012,AL,363.0,18 - 24,OWS,Q037,Age (years),18 - 24,AGEYR,AGEYR1824,26.4
2012,AL,731.0,25 - 34,OWS,Q037,Age (years),25 - 34,AGEYR,AGEYR2534,35.0
2012,AL,964.0,35 - 44,OWS,Q037,Age (years),35 - 44,AGEYR,AGEYR3544,34.2
2012,AL,1433.0,45 - 54,OWS,Q037,Age (years),45 - 54,AGEYR,AGEYR4554,35.0
2012,AL,2081.0,55 - 64,OWS,Q037,Age (years),55 - 64,AGEYR,AGEYR5564,35.3
2012,AL,3034.0,65 or older,OWS,Q037,Age (years),65 or older,AGEYR,AGEYR65PLUS,40.2
2012,AL,385.0,18 - 24,PA,Q047,Age (years),18 - 24,AGEYR,AGEYR1824,15.2
2012,AL,769.0,25 - 34,PA,Q047,Age (years),25 - 34,AGEYR,AGEYR2534,21.4
2012,AL,999.0,35 - 44,PA,Q047,Age (years),35 - 44,AGEYR,AGEYR3544,27.9
2012,AL,1472.0,45 - 54,PA,Q047,Age (years),45 - 54,AGEYR,AGEYR4554,29.6
2012,AL,2156.0,55 - 64,PA,Q047,Age (years),55 - 64,AGEYR,AGEYR5564,34.2
2012,AL,3155.0,65 or older,PA,Q047,Age (years),65 or older,AGEYR,AGEYR65PLUS,32.0
2013,AL,264.0,18 - 24,OWS,Q036,Age (years),18 - 24,AGEYR,AGEYR1824,19.0
2013,AL,491.0,25 - 34,OWS,Q036,Age (years),25 - 34,AGEYR,AGEYR2534,30.4
