yearend,locationabbr,sample_size,education,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2011,AL,1153.0,Less than high school,OWS,Q036,Education,Less than high school,EDU,EDUHS,33.6
2011,AL,2402.0,High school graduate,OWS,Q036,Education,High school graduate,EDU,EDUHSGRAD,32.8
2011,AL,1925.0,Some college or technical school,OWS,Q036,Education,Some college or technical school,EDU,EDUCOTEC,33.8
2011,AL,1812.0,College graduate,OWS,Q036,Education,College graduate,EDU,EDUCOGRAD,26.4
2011,AL,1153.0,Less than high school,OWS,Q037,Education,Less than high school,EDU,EDUHS,33.2
2011,AL,2402.0,High school graduate,OWS,Q037,Education,High school graduate,EDU,EDUHSGRAD,34.1
2011,AL,1925.0,Some college or technical school,OWS,Q037,Education,Some college or technical school,EDU,EDUCOTEC,35.0
2011,AL,1812.0,College graduate,OWS,Q037,Education,College graduate,EDU,EDUCOGRAD,36.8
2011,AL,1844.0,College graduate,FV,Q018,Education,College graduate,EDU,EDUCOGRAD,36.1
2011,AL,1912.0,Some college or technical school,FV,Q018,Education,Some college or technical school,EDU,EDUCOTEC,41.2
2011,AL,2356.0,High school graduate,FV,Q018,Education,High school graduate,EDU,EDUHSGRAD,46.9
2011,AL,1105.0,Less than high school,FV,Q018,Education,Less than high school,EDU,EDUHS,51.4
2011,AL,1073.0,Less than high school,FV,Q019,Education,Less than high school,EDU,EDUHS,34.5
2011,AL,2322.0,High school graduate,FV,Q019,Education,High school graduate,EDU,EDUHSGRAD,27.1
2011,AL,1899.0,Some college or technical school,FV,Q019,Education,Some college or technical school,EDU,EDUCOTEC,20.8
2011,AL,1826.0,College graduate,FV,Q019,Education,College graduate,EDU,EDUCOGRAD,16.0
2011,AL,1869.0,College graduate,PA,Q046,Education,College graduate,EDU,EDUCOGRAD,32.2
2011,AL,1118.0,Less than high school,PA,Q043,Education,Less than high school,EDU,EDUHS,31.5
2011,AL,2326.0,High school graduate,PA,Q043,Education,High school graduate,EDU,EDUHSGRAD,40.8
2011,AL,1921.0,Some college or technical school,PA,Q043,Education,Some college or technical school,EDU,EDUCOTEC,44.0
2011,AL,1813.0,College graduate,PA,Q043,Education,College graduate,EDU,EDUCOGRAD,52.6
2011,AL,1950.0,Some college or technical school,PA,Q046,Education,Some college or technical school,EDU,EDUCOTEC,25.4
2011,AL,1111.0,Less than high school,PA,Q044,Education,Less than high school,EDU,EDUHS,7.7
2011,AL,2307.0,High school graduate,PA,Q044,Education,High school graduate,EDU,EDUHSGRAD,13.2
2011,AL,1905.0,Some college or technical school,PA,Q044,Education,Some college or technical school,EDU,EDUCOTEC,16.3
2011,AL,1810.0,College graduate,PA,Q044,Education,College graduate,EDU,EDUCOGRAD,22.6
2011,AL,1111.0,Less than high school,PA,Q045,Education,Less than high school,EDU,EDUHS,19.9
2011,AL,2307.0,High school graduate,PA,Q045,Education,High school graduate,EDU,EDUHSGRAD,22.6
2011,AL,1916.0,Some college or technical school,PA,Q045,Education,Some college or technical school,EDU,EDUCOTEC,25.5
2011,AL,1805.0,College graduate,PA,Q045,Education,College graduate,EDU,EDUCOGRAD,27.3
2011,AL,1165.0,Less than high school,PA,Q046,Education,Less than high school,EDU,EDUHS,18.8
2011,AL,2417.0,High school graduate,PA,Q046,Education,High school graduate,EDU,EDUHSGRAD,22.9
2011,AL,1174.0,Less than high school,PA,Q047,Education,Less than high school,EDU,EDUHS,46.3
2011,AL,2440.0,High school graduate,PA,Q047,Education,High school graduate,EDU,EDUHSGRAD,33.5
2011,AL,1967.0,Some college or technical school,PA,Q047,Education,Some college or technical school,EDU,EDUCOTEC,31.6
2011,AL,1874.0,College graduate,PA,Q047,Education,College graduate,EDU,EDUCOGRAD,19.6
2012,AL,1180.0,Less than high school,OWS,Q036,Education,Less than high school,EDU,EDUHS,35.2
2012,AL,2772.0,High school graduate,OWS,Q036,Education,High school graduate,EDU,EDUHSGRAD,33.5
2012,AL,2405.0,Some college or technical school,OWS,Q036,Education,Some college or technical school,EDU,EDUCOTEC,34.4
2012,AL,2285.0,College graduate,OWS,Q036,Education,College graduate,EDU,EDUCOGRAD,27.8
2012,AL,1180.0,Less than high school,OWS,Q037,Education,Less than high school,EDU,EDUHS,30.3
2012,AL,2772.0,High school graduate,OWS,Q037,Education,High school graduate,EDU,EDUHSGRAD,34.5
2012,AL,2405.0,Some college or technical school,OWS,Q037,Education,Some college or technical school,EDU,EDUCOTEC,35.6
2012,AL,2285.0,College graduate,OWS,Q037,Education,College graduate,EDU,EDUCOGRAD,38.1
2012,AL,1248.0,Less than high school,PA,Q047,Education,Less than high school,EDU,EDUHS,43.0
2012,AL,2887.0,High school graduate,PA,Q047,Education,High school graduate,EDU,EDUHSGRAD,30.9
2012,AL,2493.0,Some college or technical school,PA,Q047,Education,Some college or technical school,EDU,EDUCOTEC,21.3
2012,AL,2368.0,College graduate,PA,Q047,Education,College graduate,EDU,EDUCOGRAD,16.2
2013,AL,766.0,Less than high school,OWS,Q036,Education,Less than high school,EDU,EDUHS,33.8
2013,AL,1994.0,High school graduate,OWS,Q036,Education,High school graduate,EDU,EDUHSGRAD,32.1
2013,AL,1813.0,Some college or technical school,OWS,Q036,Education,Some college or technical school,EDU,EDUCOTEC,35.2
2013,AL,1658.0,College graduate,OWS,Q036,Education,College graduate,EDU,EDUCOGRAD,27.6
2013,AL,766.0,Less than high school,OWS,Q037,Education,Less than high school,EDU,EDUHS,35.3
2013,AL,1994.0,High school graduate,OWS,Q037,Education,High school graduate,EDU,EDUHSGRAD,36.1
2013,AL,1813.0,Some college or technical school,OWS,Q037,Education,Some college or technical school,EDU,EDUCOTEC,33.6
2013,AL,1658.0,College graduate,OWS,Q037,Education,College graduate,EDU,EDUCOGRAD,38.9
2013,AL,1878.0,High school graduate,FV,Q018,Education,High school graduate,EDU,EDUHSGRAD,49.5
2013,AL,1731.0,Some college or technical school,FV,Q018,Education,Some college or technical school,EDU,EDUCOTEC,44.2
2013,AL,1653.0,College graduate,FV,Q018,Education,College graduate,EDU,EDUCOGRAD,39.5
2013,AL,700.0,Less than high school,FV,Q018,Education,Less than high school,EDU,EDUHS,51.0
2013,AL,1853.0,High school graduate,FV,Q019,Education,High school graduate,EDU,EDUHSGRAD,29.9
2013,AL,1719.0,Some college or technical school,FV,Q019,Education,Some college or technical school,EDU,EDUCOTEC,21.4
2013,AL,665.0,Less than high school,FV,Q019,Education,Less than high school,EDU,EDUHS,38.2
2013,AL,1623.0,College graduate,FV,Q019,Education,College graduate,EDU,EDUCOGRAD,16.6
2013,AL,1766.0,Some college or technical school,PA,Q046,Education,Some college or technical school,EDU,EDUCOTEC,25.1
2013,AL,699.0,Less than high school,PA,Q043,Education,Less than high school,EDU,EDUHS,34.2
2013,AL,1874.0,High school graduate,PA,Q043,Education,High school graduate,EDU,EDUHSGRAD,39.9
2013,AL,1724.0,Some college or technical school,PA,Q043,Education,Some college or technical school,EDU,EDUCOTEC,49.0
2013,AL,1608.0,College graduate,PA,Q043,Education,College graduate,EDU,EDUCOGRAD,56.7
2013,AL,694.0,Less than high school,PA,Q044,Education,Less than high school,EDU,EDUHS,8.9
2013,AL,1843.0,High school graduate,PA,Q044,Education,High school graduate,EDU,EDUHSGRAD,12.5
2013,AL,1704.0,Some college or technical school,PA,Q044,Education,Some college or technical school,EDU,EDUCOTEC,17.4
2013,AL,1595.0,College graduate,PA,Q044,Education,College graduate,EDU,EDUCOGRAD,24.4
2013,AL,695.0,Less than high school,PA,Q045,Education,Less than high school,EDU,EDUHS,19.6
