yearend,locationabbr,sample_size,gender,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2011,AL,2581.0,Male,OWS,Q036,Gender,Male,GEN,MALE,32.3
2011,AL,4723.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,31.8
2011,AL,2581.0,Male,OWS,Q037,Gender,Male,GEN,MALE,39.0
2011,AL,4723.0,Female,OWS,Q037,Gender,Female,GEN,FEMALE,30.5
2011,AL,4792.0,Female,FV,Q018,Gender,Female,GEN,FEMALE,40.1
2011,AL,2439.0,Male,FV,Q018,Gender,Male,GEN,MALE,47.9
2011,AL,2422.0,Male,FV,Q019,Gender,Male,GEN,MALE,26.6
2011,AL,4713.0,Female,FV,Q019,Gender,Female,GEN,FEMALE,22.3
2011,AL,2441.0,Male,PA,Q043,Gender,Male,GEN,MALE,45.4
2011,AL,4750.0,Female,PA,Q043,Gender,Female,GEN,FEMALE,39.6
2011,AL,2424.0,Male,PA,Q044,Gender,Male,GEN,MALE,17.3
2011,AL,4721.0,Female,PA,Q044,Gender,Female,GEN,FEMALE,12.8
2011,AL,2429.0,Male,PA,Q045,Gender,Male,GEN,MALE,25.3
2011,AL,4723.0,Female,PA,Q045,Gender,Female,GEN,FEMALE,22.7
2012,US,257190.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,27.4
2011,AL,2513.0,Male,PA,Q046,Gender,Male,GEN,MALE,30.1
2011,AL,4902.0,Female,PA,Q046,Gender,Female,GEN,FEMALE,19.8
2011,AL,2531.0,Male,PA,Q047,Gender,Male,GEN,MALE,29.6
2011,AL,4939.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,35.3
2012,AL,3016.0,Male,OWS,Q036,Gender,Male,GEN,MALE,31.8
2012,AL,5635.0,Female,OWS,Q036,Gender,Female,GEN,FEMALE,34.1
2012,AL,5958.0,Female,PA,Q047,Gender,Female,GEN,FEMALE,30.4
2012,AL,3016.0,Male,OWS,Q037,Gender,Male,GEN,MALE,39.7
