yearend,locationabbr,sample_size,income,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2011,AL,1112.0,"Less than $15,000",OWS,Q036,Income,"Less than $15,000",INC,INCLESS15,38.5
2011,AL,1367.0,"$15,000 - $24,999",OWS,Q036,Income,"$15,000 - $24,999",INC,INC1525,34.8
2011,AL,757.0,"$25,000 - $34,999",OWS,Q036,Income,"$25,000 - $34,999",INC,INC2535,35.8
2011,AL,861.0,"$35,000 - $49,999",OWS,Q036,Income,"$35,000 - $49,999",INC,INC3550,32.3
2011,AL,785.0,"$50,000 - $74,999",OWS,Q036,Income,"$50,000 - $74,999",INC,INC5075,34.1
2011,AL,1125.0,"$75,000 or greater",OWS,Q036,Income,"$75,000 or greater",INC,INC75PLUS,28.8
2011,AL,1297.0,Data not reported,OWS,Q036,Income,Data not reported,INC,INCNR,23.8
2011,AL,1112.0,"Less than $15,000",OWS,Q037,Income,"Less than $15,000",INC,INCLESS15,28.4
2011,AL,1367.0,"$15,000 - $24,999",OWS,Q037,Income,"$15,000 - $24,999",INC,INC1525,31.9
2011,AL,757.0,"$25,000 - $34,999",OWS,Q037,Income,"$25,000 - $34,999",INC,INC2535,35.7
2011,AL,861.0,"$35,000 - $49,999",OWS,Q037,Income,"$35,000 - $49,999",INC,INC3550,36.6
2011,AL,785.0,"$50,000 - $74,999",OWS,Q037,Income,"$50,000 - $74,999",INC,INC5075,36.1
2011,AL,1125.0,"$75,000 or greater",OWS,Q037,Income,"$75,000 or greater",INC,INC75PLUS,38.5
2011,AL,1297.0,Data not reported,OWS,Q037,Income,Data not reported,INC,INCNR,36.0
2011,AL,1148.0,"$75,000 or greater",FV,Q018,Income,"$75,000 or greater",INC,INC75PLUS,39.7
2011,AL,852.0,"$35,000 - $49,999",FV,Q018,Income,"$35,000 - $49,999",INC,INC3550,40.1
2011,AL,792.0,"$50,000 - $74,999",FV,Q018,Income,"$50,000 - $74,999",INC,INC5075,41.8
2011,AL,1340.0,"$15,000 - $24,999",FV,Q018,Income,"$15,000 - $24,999",INC,INC1525,43.9
2011,AL,1276.0,Data not reported,FV,Q018,Income,Data not reported,INC,INCNR,44.8
2011,AL,749.0,"$25,000 - $34,999",FV,Q018,Income,"$25,000 - $34,999",INC,INC2535,45.5
2011,AL,1074.0,"Less than $15,000",FV,Q018,Income,"Less than $15,000",INC,INCLESS15,51.8
2011,AL,1063.0,"Less than $15,000",FV,Q019,Income,"Less than $15,000",INC,INCLESS15,35.5
2011,AL,1326.0,"$15,000 - $24,999",FV,Q019,Income,"$15,000 - $24,999",INC,INC1525,27.7
2011,AL,738.0,"$25,000 - $34,999",FV,Q019,Income,"$25,000 - $34,999",INC,INC2535,29.4
2011,AL,849.0,"$35,000 - $49,999",FV,Q019,Income,"$35,000 - $49,999",INC,INC3550,19.7
2011,AL,793.0,"$50,000 - $74,999",FV,Q019,Income,"$50,000 - $74,999",INC,INC5075,19.9
2011,AL,1137.0,"$75,000 or greater",FV,Q019,Income,"$75,000 or greater",INC,INC75PLUS,14.0
2011,AL,1229.0,Data not reported,FV,Q019,Income,Data not reported,INC,INCNR,26.0
2011,AL,1061.0,"Less than $15,000",PA,Q043,Income,"Less than $15,000",INC,INCLESS15,38.8
2011,AL,1346.0,"$15,000 - $24,999",PA,Q043,Income,"$15,000 - $24,999",INC,INC1525,36.7
2011,AL,742.0,"$25,000 - $34,999",PA,Q043,Income,"$25,000 - $34,999",INC,INC2535,39.3
2011,AL,853.0,"$35,000 - $49,999",PA,Q043,Income,"$35,000 - $49,999",INC,INC3550,48.7
2011,AL,786.0,"$50,000 - $74,999",PA,Q043,Income,"$50,000 - $74,999",INC,INC5075,41.3
2011,AL,1133.0,"$75,000 or greater",PA,Q043,Income,"$75,000 or greater",INC,INC75PLUS,53.5
2011,AL,1270.0,Data not reported,PA,Q043,Income,Data not reported,INC,INCNR,37.9
2011,AL,1055.0,"Less than $15,000",PA,Q044,Income,"Less than $15,000",INC,INCLESS15,11.1
2011,AL,1339.0,"$15,000 - $24,999",PA,Q044,Income,"$15,000 - $24,999",INC,INC1525,10.9
2011,AL,740.0,"$25,000 - $34,999",PA,Q044,Income,"$25,000 - $34,999",INC,INC2535,12.0
2011,AL,846.0,"$35,000 - $49,999",PA,Q044,Income,"$35,000 - $49,999",INC,INC3550,16.5
2011,AL,784.0,"$50,000 - $74,999",PA,Q044,Income,"$50,000 - $74,999",INC,INC5075,16.4
2011,AL,1131.0,"$75,000 or greater",PA,Q044,Income,"$75,000 or greater",INC,INC75PLUS,21.2
2011,AL,1250.0,Data not reported,PA,Q044,Income,Data not reported,INC,INCNR,15.6
2011,AL,1054.0,"Less than $15,000",PA,Q045,Income,"Less than $15,000",INC,INCLESS15,22.3
2011,AL,1338.0,"$15,000 - $24,999",PA,Q045,Income,"$15,000 - $24,999",INC,INC1525,19.6
2011,AL,742.0,"$25,000 - $34,999",PA,Q045,Income,"$25,000 - $34,999",INC,INC2535,25.0
2011,AL,847.0,"$35,000 - $49,999",PA,Q045,Income,"$35,000 - $49,999",INC,INC3550,28.3
2011,AL,780.0,"$50,000 - $74,999",PA,Q045,Income,"$50,000 - $74,999",INC,INC5075,23.2
2011,AL,1132.0,"$75,000 or greater",PA,Q045,Income,"$75,000 or greater",INC,INC75PLUS,28.5
2011,AL,1259.0,Data not reported,PA,Q045,Income,Data not reported,INC,INCNR,22.0
2011,AL,757.0,"$25,000 - $34,999",PA,Q046,Income,"$25,000 - $34,999",INC,INC2535,23.4
2011,AL,1102.0,"Less than $15,000",PA,Q046,Income,"Less than $15,000",INC,INCLESS15,18.1
2011,AL,1349.0,Data not reported,PA,Q046,Income,Data not reported,INC,INCNR,26.2
2011,AL,803.0,"$50,000 - $74,999",PA,Q046,Income,"$50,000 - $74,999",INC,INC5075,28.8
2011,AL,1158.0,"$75,000 or greater",PA,Q046,Income,"$75,000 or greater",INC,INC75PLUS,29.4
2011,AL,868.0,"$35,000 - $49,999",PA,Q046,Income,"$35,000 - $49,999",INC,INC3550,27.0
2011,AL,1378.0,"$15,000 - $24,999",PA,Q046,Income,"$15,000 - $24,999",INC,INC1525,20.2
2011,AL,1113.0,"Less than $15,000",PA,Q047,Income,"Less than $15,000",INC,INCLESS15,38.5
2011,AL,1386.0,"$15,000 - $24,999",PA,Q047,Income,"$15,000 - $24,999",INC,INC1525,38.6
2011,AL,760.0,"$25,000 - $34,999",PA,Q047,Income,"$25,000 - $34,999",INC,INC2535,35.2
2011,AL,874.0,"$35,000 - $49,999",PA,Q047,Income,"$35,000 - $49,999",INC,INC3550,27.9
2011,AL,805.0,"$50,000 - $74,999",PA,Q047,Income,"$50,000 - $74,999",INC,INC5075,25.6
2011,AL,1164.0,"$75,000 or greater",PA,Q047,Income,"$75,000 or greater",INC,INC75PLUS,20.8
