yearend,locationabbr,sample_size,race/ethnicity,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2011,AL,5042.0,Non-Hispanic White,OWS,Q036,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,29.8
2011,AL,1878.0,Non-Hispanic Black,OWS,Q036,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,40.1
2011,AL,115.0,Hispanic,OWS,Q036,Race/Ethnicity,Hispanic,RACE,RACEHIS,28.6
2011,AL,61.0,American Indian/Alaska Native,OWS,Q036,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,32.9
2011,AL,58.0,2 or more races,OWS,Q036,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,27.8
2011,AL,5042.0,Non-Hispanic White,OWS,Q037,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,36.4
2011,AL,1878.0,Non-Hispanic Black,OWS,Q037,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,30.1
2011,AL,115.0,Hispanic,OWS,Q037,Race/Ethnicity,Hispanic,RACE,RACEHIS,34.5
2011,AL,61.0,American Indian/Alaska Native,OWS,Q037,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,31.4
2011,AL,58.0,2 or more races,OWS,Q037,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,30.4
2011,AL,110.0,Hispanic,FV,Q018,Race/Ethnicity,Hispanic,RACE,RACEHIS,35.4
2011,AL,57.0,2 or more races,FV,Q018,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,37.4
2011,AL,1883.0,Non-Hispanic Black,FV,Q018,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,39.5
2011,AL,64.0,American Indian/Alaska Native,FV,Q018,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,41.6
2011,AL,4975.0,Non-Hispanic White,FV,Q018,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,45.8
2011,AL,4913.0,Non-Hispanic White,FV,Q019,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,20.7
2011,AL,1853.0,Non-Hispanic Black,FV,Q019,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,36.1
2011,AL,108.0,Hispanic,FV,Q019,Race/Ethnicity,Hispanic,RACE,RACEHIS,11.3
