yearend,locationabbr,sample_size,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,total,data_value
2011,AL,7304.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,32.0
2011,AL,7304.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.7
2011,AL,7231.0,FV,Q018,Total,Total,OVR,OVERALL,Total,43.8
2011,AL,7135.0,FV,Q019,Total,Total,OVR,OVERALL,Total,24.3
2011,AL,7191.0,PA,Q043,Total,Total,OVR,OVERALL,Total,42.4
2011,AL,7145.0,PA,Q044,Total,Total,OVR,OVERALL,Total,15.0
2011,AL,7152.0,PA,Q045,Total,Total,OVR,OVERALL,Total,23.9
2011,AL,7415.0,PA,Q046,Total,Total,OVR,OVERALL,Total,24.7
2011,AL,7470.0,PA,Q047,Total,Total,OVR,OVERALL,Total,32.6
2012,AL,8651.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,33.0
2012,AL,8651.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,34.8
2012,AL,9014.0,PA,Q047,Total,Total,OVR,OVERALL,Total,27.2
2013,AL,6244.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,32.4
2013,AL,6244.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,35.7
2015,US,398316.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,28.9
2013,AL,5975.0,FV,Q018,Total,Total,OVR,OVERALL,Total,46.0
2013,AL,5871.0,FV,Q019,Total,Total,OVR,OVERALL,Total,25.8
2013,AL,5915.0,PA,Q043,Total,Total,OVR,OVERALL,Total,45.4
2013,AL,5846.0,PA,Q044,Total,Total,OVR,OVERALL,Total,15.9
2013,AL,5877.0,PA,Q045,Total,Total,OVR,OVERALL,Total,27.3
2013,AL,6083.0,PA,Q046,Total,Total,OVR,OVERALL,Total,24.9
2013,AL,6164.0,PA,Q047,Total,Total,OVR,OVERALL,Total,31.5
2014,AL,8190.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,33.5
2014,AL,8190.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,33.4
2014,AL,8639.0,PA,Q047,Total,Total,OVR,OVERALL,Total,27.6
2011,AK,3336.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,27.4
2011,AK,3336.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,38.9
2011,AK,3231.0,FV,Q018,Total,Total,OVR,OVERALL,Total,38.7
2011,AK,3233.0,FV,Q019,Total,Total,OVR,OVERALL,Total,19.7
