yearend,locationabbr,sample_size,classid,questionid,stratificationid1,data_value
2011,1,356.0,1,2,AGEYR1824,16.3
2011,1,598.0,1,2,AGEYR2534,35.2
2011,1,865.0,1,2,AGEYR3544,35.5
2011,1,1288.0,1,2,AGEYR4554,38.0
2011,1,1676.0,1,2,AGEYR5564,36.4
2011,1,2521.0,1,2,AGEYR65PLUS,27.1
2011,1,356.0,1,3,AGEYR1824,27.1
2011,1,598.0,1,3,AGEYR2534,31.9
2011,1,857.0,1,3,AGEYR3544,33.3
2011,1,1286.0,1,3,AGEYR4554,35.8
2011,1,1650.0,1,3,AGEYR5564,38.9
2011,1,2520.0,1,3,AGEYR65PLUS,39.0
2011,1,2408.0,0,0,AGEYR65PLUS,35.4
2011,1,1673.0,0,0,AGEYR5564,41.8
2011,1,620.0,0,0,AGEYR2534,43.1
2011,1,355.0,0,0,AGEYR1824,45.0
2011,1,1299.0,0,0,AGEYR4554,47.6
2011,1,876.0,0,0,AGEYR3544,50.1
2011,1,361.0,0,1,AGEYR1824,31.4
2011,1,611.0,0,1,AGEYR2534,25.6
2011,1,869.0,0,1,AGEYR3544,23.8
2011,1,1282.0,0,1,AGEYR4554,23.7
2011,1,1664.0,0,1,AGEYR5564,21.6
2011,1,2348.0,0,1,AGEYR65PLUS,21.6
2011,1,352.0,2,4,AGEYR1824,49.4
2011,1,611.0,2,4,AGEYR2534,41.9
2011,1,856.0,2,4,AGEYR3544,41.8
2011,1,1277.0,2,4,AGEYR4554,39.3
2011,1,1721.0,2,7,AGEYR5564,16.8
2011,1,1660.0,2,4,AGEYR5564,40.2
2011,1,2435.0,2,4,AGEYR65PLUS,43.4
2011,1,351.0,2,5,AGEYR1824,27.2
2011,1,608.0,2,5,AGEYR2534,16.3
2011,1,851.0,2,5,AGEYR3544,17.0
2011,1,1274.0,2,5,AGEYR4554,12.4
2011,1,1653.0,2,5,AGEYR5564,9.5
2011,1,2408.0,2,5,AGEYR65PLUS,10.7
2011,1,352.0,2,6,AGEYR1824,25.8
2011,1,609.0,2,6,AGEYR2534,20.9
2011,1,854.0,2,6,AGEYR3544,22.8
2011,1,1275.0,2,6,AGEYR4554,22.1
2011,1,1649.0,2,6,AGEYR5564,23.5
2011,1,2413.0,2,6,AGEYR65PLUS,28.7
2011,1,365.0,2,7,AGEYR1824,41.6
2011,1,882.0,2,7,AGEYR3544,28.3
2011,1,2512.0,2,7,AGEYR65PLUS,17.7
2011,1,1312.0,2,7,AGEYR4554,20.3
2011,1,623.0,2,7,AGEYR2534,28.3
2011,1,369.0,2,8,AGEYR1824,22.5
2011,1,628.0,2,8,AGEYR2534,27.2
2011,1,887.0,2,8,AGEYR3544,29.8
2011,1,1316.0,2,8,AGEYR4554,35.3
2011,1,1729.0,2,8,AGEYR5564,37.9
2011,1,2541.0,2,8,AGEYR65PLUS,39.8
2012,1,363.0,1,2,AGEYR1824,23.9
2012,1,731.0,1,2,AGEYR2534,31.3
2012,1,964.0,1,2,AGEYR3544,34.1
2012,1,1433.0,1,2,AGEYR4554,39.7
2012,1,2081.0,1,2,AGEYR5564,40.3
2012,1,3034.0,1,2,AGEYR65PLUS,26.9
2012,1,363.0,1,3,AGEYR1824,26.4
2012,1,731.0,1,3,AGEYR2534,35.0
2012,1,964.0,1,3,AGEYR3544,34.2
2012,1,1433.0,1,3,AGEYR4554,35.0
2012,1,2081.0,1,3,AGEYR5564,35.3
2012,1,3034.0,1,3,AGEYR65PLUS,40.2
2012,1,385.0,2,8,AGEYR1824,15.2
2012,1,769.0,2,8,AGEYR2534,21.4
2012,1,999.0,2,8,AGEYR3544,27.9
2012,1,1472.0,2,8,AGEYR4554,29.6
2012,1,2156.0,2,8,AGEYR5564,34.2
2012,1,3155.0,2,8,AGEYR65PLUS,32.0
2013,1,264.0,1,2,AGEYR1824,19.0
2013,1,491.0,1,2,AGEYR2534,30.4
2013,1,649.0,1,2,AGEYR3544,36.7
2013,1,1003.0,1,2,AGEYR4554,40.0
2013,1,1509.0,1,2,AGEYR5564,37.1
2013,1,2328.0,1,2,AGEYR65PLUS,28.4
2014,1,1886.0,1,3,AGEYR5564,35.1
2013,1,264.0,1,3,AGEYR1824,24.8
2013,1,491.0,1,3,AGEYR2534,38.6
2013,1,649.0,1,3,AGEYR3544,32.2
2013,1,1003.0,1,3,AGEYR4554,35.1
2013,1,1509.0,1,3,AGEYR5564,38.4
2013,1,2328.0,1,3,AGEYR65PLUS,41.5
2013,1,246.0,0,0,AGEYR1824,51.2
2013,1,457.0,0,0,AGEYR2534,43.3
2013,1,632.0,0,0,AGEYR3544,48.8
2013,1,971.0,0,0,AGEYR4554,50.2
2013,1,1470.0,0,0,AGEYR5564,47.1
2013,1,2199.0,0,0,AGEYR65PLUS,37.6
2013,1,1461.0,0,1,AGEYR5564,21.9
2013,1,2126.0,0,1,AGEYR65PLUS,21.4
2013,1,956.0,0,1,AGEYR4554,25.3
2013,1,459.0,0,1,AGEYR2534,27.7
2013,1,624.0,0,1,AGEYR3544,25.9
2013,1,245.0,0,1,AGEYR1824,36.0
2013,1,243.0,2,4,AGEYR1824,49.5
2013,1,456.0,2,4,AGEYR2534,50.6
2013,1,622.0,2,4,AGEYR3544,40.7
2013,1,960.0,2,4,AGEYR4554,44.3
2013,1,1439.0,2,4,AGEYR5564,40.9
2013,1,2195.0,2,4,AGEYR65PLUS,47.3
2013,1,237.0,2,5,AGEYR1824,26.5
2013,1,453.0,2,5,AGEYR2534,20.7
2013,1,616.0,2,5,AGEYR3544,16.2
2013,1,949.0,2,5,AGEYR4554,14.7
2013,1,1427.0,2,5,AGEYR5564,10.5
2013,1,2164.0,2,5,AGEYR65PLUS,11.3
2013,1,462.0,2,7,AGEYR2534,30.6
2013,1,620.0,2,6,AGEYR3544,24.0
2013,1,951.0,2,6,AGEYR4554,28.0
2013,1,1434.0,2,6,AGEYR5564,25.6
2013,1,2177.0,2,6,AGEYR65PLUS,32.6
2013,1,240.0,2,6,AGEYR1824,25.6
2013,1,455.0,2,6,AGEYR2534,26.5
2013,1,248.0,2,7,AGEYR1824,44.9
2013,1,629.0,2,7,AGEYR3544,26.3
2013,1,976.0,2,7,AGEYR4554,20.9
2013,1,1495.0,2,7,AGEYR5564,17.5
2013,1,2273.0,2,7,AGEYR65PLUS,17.0
2013,1,987.0,2,8,AGEYR4554,34.0
2013,1,1509.0,2,8,AGEYR5564,36.9
2013,1,2311.0,2,8,AGEYR65PLUS,34.9
2012,0,665.0,1,2,AGEYR3544,30.3
2013,1,636.0,2,8,AGEYR3544,32.8
2013,1,254.0,2,8,AGEYR1824,22.2
2013,1,467.0,2,8,AGEYR2534,24.2
2014,1,409.0,1,2,AGEYR1824,20.4
2014,1,703.0,1,2,AGEYR2534,31.7
2014,1,839.0,1,2,AGEYR3544,40.9
2014,1,1364.0,1,2,AGEYR4554,39.9
2014,1,1886.0,1,2,AGEYR5564,37.4
2014,1,2989.0,1,2,AGEYR65PLUS,28.9
2014,1,409.0,1,3,AGEYR1824,26.3
2014,1,703.0,1,3,AGEYR2534,32.3
2014,1,839.0,1,3,AGEYR3544,31.3
2014,1,1364.0,1,3,AGEYR4554,33.5
2014,1,2989.0,1,3,AGEYR65PLUS,39.0
2014,1,438.0,2,8,AGEYR1824,19.0
2014,1,758.0,2,8,AGEYR2534,20.2
2014,1,894.0,2,8,AGEYR3544,25.4
2014,1,1421.0,2,8,AGEYR4554,31.6
2014,1,2001.0,2,8,AGEYR5564,32.3
2014,1,3127.0,2,8,AGEYR65PLUS,33.7
2011,0,212.0,1,2,AGEYR1824,19.8
2011,0,451.0,1,2,AGEYR2534,23.5
2011,0,562.0,1,2,AGEYR3544,29.5
2011,0,735.0,1,2,AGEYR4554,29.2
2011,0,776.0,1,2,AGEYR5564,33.4
2011,0,600.0,1,2,AGEYR65PLUS,29.3
2011,0,212.0,1,3,AGEYR1824,32.0
2011,0,451.0,1,3,AGEYR2534,38.7
2011,0,559.0,1,3,AGEYR3544,38.9
2011,0,718.0,1,3,AGEYR4554,43.3
2011,0,773.0,1,3,AGEYR5564,38.9
2011,0,600.0,1,3,AGEYR65PLUS,40.9
2011,0,563.0,0,0,AGEYR65PLUS,28.8
2011,0,754.0,0,0,AGEYR5564,33.3
2011,0,726.0,0,0,AGEYR4554,35.8
2011,0,548.0,0,0,AGEYR3544,42.3
2011,0,442.0,0,0,AGEYR2534,43.6
2011,0,198.0,0,0,AGEYR1824,45.0
2011,0,203.0,0,1,AGEYR1824,29.1
2012,0,831.0,1,2,AGEYR4554,32.6
2011,0,444.0,0,1,AGEYR2534,18.8
2011,0,548.0,0,1,AGEYR3544,18.4
2011,0,720.0,0,1,AGEYR4554,17.0
2011,0,764.0,0,1,AGEYR5564,16.0
2011,0,554.0,0,1,AGEYR65PLUS,22.0
2012,0,924.0,1,2,AGEYR5564,32.3
2011,0,448.0,2,4,AGEYR2534,57.6
2011,0,543.0,2,4,AGEYR3544,55.3
2011,0,700.0,2,4,AGEYR4554,56.2
