yearend,locationabbr,sample_size,classid,questionid,stratificationid1,data_value
2011,1,1153.0,1,2,EDUHS,33.6
2011,1,2402.0,1,2,EDUHSGRAD,32.8
2011,1,1925.0,1,2,EDUCOTEC,33.8
2011,1,1812.0,1,2,EDUCOGRAD,26.4
2011,1,1153.0,1,3,EDUHS,33.2
2011,1,2402.0,1,3,EDUHSGRAD,34.1
2011,1,1925.0,1,3,EDUCOTEC,35.0
2011,1,1812.0,1,3,EDUCOGRAD,36.8
2011,1,1844.0,0,0,EDUCOGRAD,36.1
2011,1,1912.0,0,0,EDUCOTEC,41.2
2011,1,2356.0,0,0,EDUHSGRAD,46.9
2011,1,1105.0,0,0,EDUHS,51.4
2011,1,1073.0,0,1,EDUHS,34.5
2011,1,2322.0,0,1,EDUHSGRAD,27.1
2011,1,1899.0,0,1,EDUCOTEC,20.8
2011,1,1826.0,0,1,EDUCOGRAD,16.0
2011,1,1869.0,2,7,EDUCOGRAD,32.2
2011,1,1118.0,2,4,EDUHS,31.5
2011,1,2326.0,2,4,EDUHSGRAD,40.8
2011,1,1921.0,2,4,EDUCOTEC,44.0
2011,1,1813.0,2,4,EDUCOGRAD,52.6
2011,1,1950.0,2,7,EDUCOTEC,25.4
2011,1,1111.0,2,5,EDUHS,7.7
2011,1,2307.0,2,5,EDUHSGRAD,13.2
2011,1,1905.0,2,5,EDUCOTEC,16.3
2011,1,1810.0,2,5,EDUCOGRAD,22.6
2011,1,1111.0,2,6,EDUHS,19.9
2011,1,2307.0,2,6,EDUHSGRAD,22.6
2011,1,1916.0,2,6,EDUCOTEC,25.5
2011,1,1805.0,2,6,EDUCOGRAD,27.3
2011,1,1165.0,2,7,EDUHS,18.8
2011,1,2417.0,2,7,EDUHSGRAD,22.9
2011,1,1174.0,2,8,EDUHS,46.3
2011,1,2440.0,2,8,EDUHSGRAD,33.5
2011,1,1967.0,2,8,EDUCOTEC,31.6
2011,1,1874.0,2,8,EDUCOGRAD,19.6
2012,1,1180.0,1,2,EDUHS,35.2
2012,1,2772.0,1,2,EDUHSGRAD,33.5
2012,1,2405.0,1,2,EDUCOTEC,34.4
2012,1,2285.0,1,2,EDUCOGRAD,27.8
2012,1,1180.0,1,3,EDUHS,30.3
2012,1,2772.0,1,3,EDUHSGRAD,34.5
2012,1,2405.0,1,3,EDUCOTEC,35.6
2012,1,2285.0,1,3,EDUCOGRAD,38.1
2012,1,1248.0,2,8,EDUHS,43.0
2012,1,2887.0,2,8,EDUHSGRAD,30.9
2012,1,2493.0,2,8,EDUCOTEC,21.3
2012,1,2368.0,2,8,EDUCOGRAD,16.2
2013,1,766.0,1,2,EDUHS,33.8
2013,1,1994.0,1,2,EDUHSGRAD,32.1
2013,1,1813.0,1,2,EDUCOTEC,35.2
2013,1,1658.0,1,2,EDUCOGRAD,27.6
2013,1,766.0,1,3,EDUHS,35.3
2013,1,1994.0,1,3,EDUHSGRAD,36.1
2013,1,1813.0,1,3,EDUCOTEC,33.6
2013,1,1658.0,1,3,EDUCOGRAD,38.9
2013,1,1878.0,0,0,EDUHSGRAD,49.5
2013,1,1731.0,0,0,EDUCOTEC,44.2
2013,1,1653.0,0,0,EDUCOGRAD,39.5
2013,1,700.0,0,0,EDUHS,51.0
2013,1,1853.0,0,1,EDUHSGRAD,29.9
2013,1,1719.0,0,1,EDUCOTEC,21.4
2013,1,665.0,0,1,EDUHS,38.2
2013,1,1623.0,0,1,EDUCOGRAD,16.6
2013,1,1766.0,2,7,EDUCOTEC,25.1
2013,1,699.0,2,4,EDUHS,34.2
2013,1,1874.0,2,4,EDUHSGRAD,39.9
2013,1,1724.0,2,4,EDUCOTEC,49.0
2013,1,694.0,2,5,EDUHS,8.9
2013,1,1843.0,2,5,EDUHSGRAD,12.5
2013,1,1704.0,2,5,EDUCOTEC,17.4
2013,1,1595.0,2,5,EDUCOGRAD,24.4
2013,1,695.0,2,6,EDUHS,19.6
2013,1,1864.0,2,6,EDUHSGRAD,25.2
2013,1,1714.0,2,6,EDUCOTEC,28.3
2013,1,1594.0,2,6,EDUCOGRAD,35.1
2013,1,731.0,2,7,EDUHS,19.1
2013,1,1928.0,2,7,EDUHSGRAD,21.3
2013,1,1646.0,2,7,EDUCOGRAD,34.6
2013,1,736.0,2,8,EDUHS,42.1
2013,1,1962.0,2,8,EDUHSGRAD,36.5
2013,1,1789.0,2,8,EDUCOTEC,29.7
2013,1,1664.0,2,8,EDUCOGRAD,18.4
2014,1,995.0,1,2,EDUHS,34.8
2014,1,2622.0,1,2,EDUHSGRAD,35.4
2014,1,2333.0,1,2,EDUCOTEC,34.4
2014,1,2231.0,1,2,EDUCOGRAD,28.1
2014,1,995.0,1,3,EDUHS,29.9
2014,1,2622.0,1,3,EDUHSGRAD,32.7
2014,1,2333.0,1,3,EDUCOTEC,33.5
2014,1,2231.0,1,3,EDUCOGRAD,37.6
2014,1,1061.0,2,8,EDUHS,40.9
2014,1,2751.0,2,8,EDUHSGRAD,32.7
2014,1,2469.0,2,8,EDUCOTEC,23.5
2014,1,2322.0,2,8,EDUCOGRAD,14.8
2011,0,245.0,1,2,EDUHS,28.8
2011,0,981.0,1,2,EDUHSGRAD,33.1
2011,0,954.0,1,2,EDUCOTEC,25.8
2011,0,1150.0,1,2,EDUCOGRAD,22.1
2011,0,245.0,1,3,EDUHS,35.3
2011,0,981.0,1,3,EDUHSGRAD,38.0
2011,0,954.0,1,3,EDUCOTEC,40.1
2011,0,1150.0,1,3,EDUCOGRAD,39.9
2011,0,1149.0,0,0,EDUCOGRAD,28.9
2011,0,941.0,0,0,EDUCOTEC,37.3
2011,0,219.0,0,0,EDUHS,43.3
2011,0,915.0,0,0,EDUHSGRAD,47.5
2011,0,217.0,0,1,EDUHS,27.5
2011,0,931.0,0,1,EDUHSGRAD,25.4
2011,0,947.0,0,1,EDUCOTEC,17.7
2011,0,1131.0,0,1,EDUCOGRAD,12.8
2011,0,219.0,2,4,EDUHS,53.1
2011,0,923.0,2,4,EDUHSGRAD,49.9
2011,0,210.0,2,5,EDUHS,20.7
2011,0,904.0,2,5,EDUHSGRAD,17.4
2011,0,923.0,2,5,EDUCOTEC,26.0
2011,0,1122.0,2,5,EDUCOGRAD,33.8
2011,0,216.0,2,6,EDUHS,39.5
2011,0,910.0,2,6,EDUHSGRAD,30.1
2011,0,927.0,2,6,EDUCOTEC,39.3
2011,0,1125.0,2,6,EDUCOGRAD,43.3
2011,0,947.0,2,7,EDUHSGRAD,25.9
2011,0,956.0,2,7,EDUCOTEC,36.0
2011,0,1151.0,2,7,EDUCOGRAD,41.8
2011,0,232.0,2,7,EDUHS,28.8
2011,0,241.0,2,8,EDUHS,33.2
2011,0,964.0,2,8,EDUHSGRAD,26.9
2011,0,974.0,2,8,EDUCOTEC,21.2
2011,0,1160.0,2,8,EDUCOGRAD,12.5
2012,0,287.0,1,2,EDUHS,23.3
2012,0,1175.0,1,2,EDUHSGRAD,25.8
2012,0,1250.0,1,2,EDUCOTEC,26.9
2012,0,1376.0,1,2,EDUCOGRAD,24.9
2012,0,287.0,1,3,EDUHS,35.1
2012,0,1175.0,1,3,EDUHSGRAD,41.1
2012,0,1250.0,1,3,EDUCOTEC,40.4
2012,0,1376.0,1,3,EDUCOGRAD,36.2
2012,0,300.0,2,8,EDUHS,30.0
2012,0,1247.0,2,8,EDUHSGRAD,26.0
2012,0,1318.0,2,8,EDUCOTEC,14.4
2012,0,1459.0,2,8,EDUCOGRAD,10.9
2013,0,260.0,1,2,EDUHS,28.2
2013,0,1272.0,1,2,EDUHSGRAD,33.1
2013,0,1286.0,1,2,EDUCOTEC,29.6
2013,0,1571.0,1,2,EDUCOGRAD,21.2
2013,0,260.0,1,3,EDUHS,39.1
2013,0,1272.0,1,3,EDUHSGRAD,35.5
2013,0,1286.0,1,3,EDUCOTEC,38.3
2013,0,1571.0,1,3,EDUCOGRAD,38.8
2013,0,1563.0,0,0,EDUCOGRAD,26.1
2013,0,1183.0,0,0,EDUHSGRAD,48.3
2013,0,1257.0,0,0,EDUCOTEC,38.1
2013,0,1241.0,0,1,EDUCOTEC,18.5
2013,0,1543.0,0,1,EDUCOGRAD,7.5
2013,0,1166.0,0,1,EDUHSGRAD,27.4
2013,0,240.0,0,1,EDUHS,28.4
2013,0,227.0,2,4,EDUHS,43.7
2013,0,1152.0,2,4,EDUHSGRAD,50.8
2013,0,1217.0,2,4,EDUCOTEC,53.2
2013,0,224.0,2,5,EDUHS,16.6
2013,0,1129.0,2,5,EDUHSGRAD,19.6
2013,0,1202.0,2,5,EDUCOTEC,25.9
2013,0,1517.0,2,5,EDUCOGRAD,33.1
2013,0,227.0,2,6,EDUHS,30.2
2013,0,1145.0,2,6,EDUHSGRAD,33.8
2013,0,1212.0,2,6,EDUCOTEC,34.5
2013,0,1513.0,2,6,EDUCOGRAD,44.8
2013,0,1245.0,2,7,EDUCOTEC,36.9
2013,0,1557.0,2,7,EDUCOGRAD,42.5
2013,0,1159.0,2,7,EDUHSGRAD,30.4
2013,0,238.0,2,7,EDUHS,31.2
2013,0,245.0,2,8,EDUHS,34.9
2013,0,1190.0,2,8,EDUHSGRAD,26.9
2013,0,1266.0,2,8,EDUCOTEC,22.6
2013,0,1566.0,2,8,EDUCOGRAD,11.9
2014,0,218.0,1,2,EDUHS,32.8
2014,0,1060.0,1,2,EDUHSGRAD,28.3
2014,0,1217.0,1,2,EDUCOTEC,34.0
2014,0,1628.0,1,2,EDUCOGRAD,23.4
2014,0,218.0,1,3,EDUHS,36.3
