yearend,locationabbr,sample_size,classid,questionid,stratificationid1,data_value
2011,1,2581.0,1,2,MALE,32.3
2011,1,4723.0,1,2,FEMALE,31.8
2011,1,2581.0,1,3,MALE,39.0
2011,1,4723.0,1,3,FEMALE,30.5
2011,1,4792.0,0,0,FEMALE,40.1
2011,1,2439.0,0,0,MALE,47.9
2011,1,2422.0,0,1,MALE,26.6
2011,1,4713.0,0,1,FEMALE,22.3
2011,1,2441.0,2,4,MALE,45.4
2011,1,4750.0,2,4,FEMALE,39.6
2011,1,2424.0,2,5,MALE,17.3
2011,1,4721.0,2,5,FEMALE,12.8
2011,1,2429.0,2,6,MALE,25.3
2011,1,4723.0,2,6,FEMALE,22.7
2011,1,2513.0,2,7,MALE,30.1
2011,1,4902.0,2,7,FEMALE,19.8
2011,1,2531.0,2,8,MALE,29.6
2011,1,4939.0,2,8,FEMALE,35.3
2012,1,3016.0,1,2,MALE,31.8
2012,1,5635.0,1,2,FEMALE,34.1
2012,1,5958.0,2,8,FEMALE,30.4
2012,1,3016.0,1,3,MALE,39.7
2012,1,5635.0,1,3,FEMALE,30.1
2014,1,5156.0,1,2,FEMALE,32.9
2012,1,3056.0,2,8,MALE,23.7
2013,1,2179.0,1,2,MALE,30.9
2013,1,4065.0,1,2,FEMALE,34.0
2013,1,2179.0,1,3,MALE,40.8
2013,1,4065.0,1,3,FEMALE,30.9
2013,1,3954.0,0,0,FEMALE,43.0
2013,1,2021.0,0,0,MALE,49.3
2014,1,3109.0,2,8,MALE,24.2
2013,1,1995.0,0,1,MALE,28.2
2013,1,3876.0,0,1,FEMALE,23.5
2013,1,2014.0,2,4,MALE,49.9
2013,1,3901.0,2,4,FEMALE,41.2
2013,1,1985.0,2,5,MALE,19.6
2013,1,3861.0,2,5,FEMALE,12.6
2013,1,2004.0,2,6,MALE,31.7
2013,1,3873.0,2,6,FEMALE,23.3
2013,1,2055.0,2,7,MALE,30.6
2013,1,4028.0,2,7,FEMALE,19.6
2013,1,2089.0,2,8,MALE,26.9
2013,1,4075.0,2,8,FEMALE,35.6
2014,1,3034.0,1,2,MALE,34.1
2014,1,5530.0,2,8,FEMALE,30.8
2014,1,3034.0,1,3,MALE,37.2
2014,1,5156.0,1,3,FEMALE,29.8
2011,0,1620.0,1,2,MALE,28.0
2011,0,1716.0,1,2,FEMALE,26.7
2011,0,1620.0,1,3,MALE,45.3
2011,0,1716.0,1,3,FEMALE,31.3
2011,0,1753.0,0,0,FEMALE,34.2
2011,0,1478.0,0,0,MALE,42.9
2011,0,1480.0,0,1,MALE,23.0
2011,0,1753.0,0,1,FEMALE,16.2
2011,0,1464.0,2,5,MALE,28.1
2011,0,1702.0,2,5,FEMALE,21.7
2011,0,1468.0,2,6,MALE,37.8
2011,0,1718.0,2,6,FEMALE,37.5
2011,0,1776.0,2,7,FEMALE,28.9
2011,0,1518.0,2,7,MALE,38.6
2011,0,1543.0,2,8,MALE,20.1
2011,0,1806.0,2,8,FEMALE,24.0
2012,0,1957.0,1,2,MALE,25.9
2012,0,2136.0,1,2,FEMALE,25.4
2012,0,1957.0,1,3,MALE,44.4
2012,0,2136.0,1,3,FEMALE,32.8
2012,0,1992.0,2,8,MALE,16.9
2012,0,2344.0,2,8,FEMALE,20.1
2013,0,2093.0,1,2,MALE,29.2
2013,0,2303.0,1,2,FEMALE,27.5
2013,0,2093.0,1,3,MALE,43.4
2013,0,2303.0,1,3,FEMALE,31.2
2013,0,1956.0,0,0,MALE,44.5
2013,0,2296.0,0,0,FEMALE,34.6
2013,0,1932.0,0,1,MALE,22.0
2013,0,2265.0,0,1,FEMALE,16.2
2013,0,1881.0,2,5,MALE,26.2
2013,0,2198.0,2,5,FEMALE,23.9
2013,0,1894.0,2,6,MALE,37.7
2013,0,2210.0,2,6,FEMALE,35.1
2013,0,1941.0,2,7,MALE,37.8
2013,0,2266.0,2,7,FEMALE,34.0
2013,0,1976.0,2,8,MALE,22.8
2013,0,2299.0,2,8,FEMALE,21.7
2014,0,1921.0,1,2,MALE,29.3
2014,0,2221.0,1,2,FEMALE,30.2
2014,0,1921.0,1,3,MALE,40.1
2014,0,2221.0,1,3,FEMALE,29.4
2014,0,1963.0,2,8,MALE,18.1
2014,0,2415.0,2,8,FEMALE,20.3
2011,3,2474.0,1,2,MALE,24.4
2011,3,3676.0,1,2,FEMALE,25.8
2011,3,2400.0,1,3,MALE,46.1
2011,3,3581.0,1,3,FEMALE,29.1
2011,3,3713.0,0,0,FEMALE,34.1
2011,3,2392.0,0,0,MALE,42.1
2011,3,2353.0,0,1,MALE,22.6
2011,3,3650.0,0,1,FEMALE,18.7
2011,3,3638.0,2,4,FEMALE,50.7
2011,3,2337.0,2,5,MALE,28.5
2011,3,3578.0,2,5,FEMALE,19.8
2011,3,2422.0,2,8,MALE,23.7
2011,3,2348.0,2,6,MALE,35.2
2011,3,3613.0,2,6,FEMALE,30.9
2011,3,3697.0,2,7,FEMALE,26.5
2011,3,2390.0,2,7,MALE,38.6
2011,3,3775.0,2,8,FEMALE,24.5
2012,3,2948.0,1,2,MALE,26.4
2012,3,4003.0,1,2,FEMALE,25.6
2012,3,2948.0,1,3,MALE,43.4
2012,3,4003.0,1,3,FEMALE,28.2
2012,3,2978.0,2,8,MALE,21.1
2012,3,4307.0,2,8,FEMALE,23.9
2013,3,1723.0,1,2,MALE,26.5
2013,3,2306.0,1,2,FEMALE,27.1
2013,3,1723.0,1,3,MALE,43.0
2013,3,2306.0,1,3,FEMALE,26.8
2013,2,1980.0,1,2,MALE,35.2
2013,3,1580.0,0,0,MALE,45.3
2013,3,2286.0,0,0,FEMALE,34.1
2013,3,1547.0,0,1,MALE,25.8
2013,3,2260.0,0,1,FEMALE,21.9
2013,3,1558.0,2,4,MALE,54.2
2013,3,2219.0,2,4,FEMALE,49.8
2013,3,1535.0,2,5,MALE,23.9
2013,3,2189.0,2,5,FEMALE,20.3
2013,3,1553.0,2,6,MALE,36.6
2013,3,2205.0,2,6,FEMALE,31.5
2013,3,2259.0,2,7,FEMALE,26.7
2013,3,1571.0,2,7,MALE,35.4
2013,3,1604.0,2,8,MALE,23.3
2013,3,2306.0,2,8,FEMALE,27.0
2014,3,5774.0,1,2,MALE,29.1
2014,3,8075.0,1,2,FEMALE,28.8
2014,3,5774.0,1,3,MALE,40.4
2014,3,8075.0,1,3,FEMALE,29.5
2014,3,8869.0,2,8,FEMALE,23.2
2014,3,5960.0,2,8,MALE,19.2
2011,2,1681.0,1,2,MALE,30.7
2011,2,2846.0,1,2,FEMALE,31.2
2013,2,3043.0,1,2,FEMALE,34.1
2011,2,1681.0,1,3,MALE,39.3
2011,2,2846.0,1,3,FEMALE,28.6
2011,2,2808.0,0,0,FEMALE,44.8
2011,2,1583.0,0,0,MALE,50.5
2011,2,1547.0,0,1,MALE,30.6
2011,2,2737.0,0,1,FEMALE,26.7
2011,2,1541.0,2,4,MALE,48.5
2011,2,2727.0,2,4,FEMALE,43.0
2011,2,1521.0,2,5,MALE,20.5
2011,2,2699.0,2,5,FEMALE,13.2
2011,2,1531.0,2,6,MALE,31.1
2011,2,2708.0,2,6,FEMALE,24.8
2011,2,2813.0,2,7,FEMALE,19.1
2011,2,1584.0,2,7,MALE,30.6
2011,2,1606.0,2,8,MALE,27.5
2011,2,2843.0,2,8,FEMALE,34.1
2012,2,1937.0,1,2,MALE,34.0
2012,2,3006.0,1,2,FEMALE,35.1
2012,2,1937.0,1,3,MALE,41.6
2012,2,3006.0,1,3,FEMALE,26.8
2012,2,1960.0,2,8,MALE,29.2
2012,2,3214.0,2,8,FEMALE,33.7
2013,2,1980.0,1,3,MALE,39.4
2013,2,3043.0,1,3,FEMALE,31.1
2013,2,1815.0,0,0,MALE,54.1
2013,2,2979.0,0,0,FEMALE,47.4
2012,4,5806.0,2,8,MALE,17.2
2013,2,1779.0,0,1,MALE,31.3
2013,2,2894.0,0,1,FEMALE,25.0
2013,2,1777.0,2,4,MALE,43.4
2013,2,2886.0,2,4,FEMALE,39.3
2013,2,1747.0,2,5,MALE,15.1
2013,2,2852.0,2,5,FEMALE,12.7
2013,2,1771.0,2,6,MALE,27.6
2013,2,2871.0,2,6,FEMALE,23.8
2013,2,1806.0,2,7,MALE,26.7
2013,2,2968.0,2,7,FEMALE,18.3
2013,2,1846.0,2,8,MALE,32.2
2013,2,3025.0,2,8,FEMALE,36.4
