yearend,locationabbr,sample_size,classid,questionid,stratificationid1,data_value
2011,1,1112.0,1,2,INCLESS15,38.5
2011,1,1367.0,1,2,INC1525,34.8
2011,1,757.0,1,2,INC2535,35.8
2011,1,861.0,1,2,INC3550,32.3
2011,1,785.0,1,2,INC5075,34.1
2011,1,1125.0,1,2,INC75PLUS,28.8
2011,1,1297.0,1,2,INCNR,23.8
2011,1,1112.0,1,3,INCLESS15,28.4
2011,1,1367.0,1,3,INC1525,31.9
2011,1,757.0,1,3,INC2535,35.7
2011,1,861.0,1,3,INC3550,36.6
2011,1,785.0,1,3,INC5075,36.1
2011,1,1125.0,1,3,INC75PLUS,38.5
2011,1,1297.0,1,3,INCNR,36.0
2011,1,1148.0,0,0,INC75PLUS,39.7
2011,1,852.0,0,0,INC3550,40.1
2011,1,792.0,0,0,INC5075,41.8
2011,1,1340.0,0,0,INC1525,43.9
2011,1,1276.0,0,0,INCNR,44.8
2011,1,749.0,0,0,INC2535,45.5
2011,1,1074.0,0,0,INCLESS15,51.8
2011,1,1063.0,0,1,INCLESS15,35.5
2011,1,1326.0,0,1,INC1525,27.7
2011,1,738.0,0,1,INC2535,29.4
2011,1,849.0,0,1,INC3550,19.7
2011,1,793.0,0,1,INC5075,19.9
2011,1,1137.0,0,1,INC75PLUS,14.0
2011,1,1229.0,0,1,INCNR,26.0
2011,1,1061.0,2,4,INCLESS15,38.8
2011,1,1346.0,2,4,INC1525,36.7
2011,1,742.0,2,4,INC2535,39.3
2011,1,853.0,2,4,INC3550,48.7
2011,1,786.0,2,4,INC5075,41.3
2011,1,1133.0,2,4,INC75PLUS,53.5
2011,1,1270.0,2,4,INCNR,37.9
2011,1,1055.0,2,5,INCLESS15,11.1
2011,1,1339.0,2,5,INC1525,10.9
2011,1,740.0,2,5,INC2535,12.0
2011,1,846.0,2,5,INC3550,16.5
2011,1,784.0,2,5,INC5075,16.4
2011,1,1131.0,2,5,INC75PLUS,21.2
2011,1,1250.0,2,5,INCNR,15.6
2011,1,1054.0,2,6,INCLESS15,22.3
2011,1,1338.0,2,6,INC1525,19.6
2011,1,742.0,2,6,INC2535,25.0
2011,1,847.0,2,6,INC3550,28.3
2011,1,780.0,2,6,INC5075,23.2
2011,1,1132.0,2,6,INC75PLUS,28.5
2011,1,1259.0,2,6,INCNR,22.0
2011,1,757.0,2,7,INC2535,23.4
2011,1,1102.0,2,7,INCLESS15,18.1
2011,1,1349.0,2,7,INCNR,26.2
2011,1,803.0,2,7,INC5075,28.8
2011,1,1158.0,2,7,INC75PLUS,29.4
2011,1,868.0,2,7,INC3550,27.0
2011,1,1378.0,2,7,INC1525,20.2
2011,1,1113.0,2,8,INCLESS15,38.5
2011,1,1386.0,2,8,INC1525,38.6
2011,1,760.0,2,8,INC2535,35.2
2011,1,874.0,2,8,INC3550,27.9
2011,1,805.0,2,8,INC5075,25.6
2011,1,1164.0,2,8,INC75PLUS,20.8
2011,1,1368.0,2,8,INCNR,39.5
2012,1,1225.0,1,2,INCLESS15,40.8
2012,1,1598.0,1,2,INC1525,35.2
2012,1,871.0,1,2,INC2535,29.0
2012,1,1014.0,1,2,INC3550,34.5
2012,1,1017.0,1,2,INC5075,34.5
2012,1,1414.0,1,2,INC75PLUS,28.9
2012,1,1512.0,1,2,INCNR,28.4
2012,1,1225.0,1,3,INCLESS15,28.2
2012,1,1598.0,1,3,INC1525,31.8
2012,1,871.0,1,3,INC2535,37.5
2012,1,1014.0,1,3,INC3550,37.7
2012,1,1017.0,1,3,INC5075,36.1
2012,1,1414.0,1,3,INC75PLUS,38.5
2012,1,1512.0,1,3,INCNR,34.8
2012,1,1278.0,2,8,INCLESS15,40.4
2012,1,1633.0,2,8,INC1525,30.4
2012,1,907.0,2,8,INC2535,26.9
2012,1,1038.0,2,8,INC3550,26.1
2012,1,1042.0,2,8,INC5075,20.6
2012,1,1446.0,2,8,INC75PLUS,14.3
2012,1,1670.0,2,8,INCNR,31.6
2013,1,882.0,1,2,INCLESS15,37.2
2013,1,1115.0,1,2,INC1525,36.6
2013,1,588.0,1,2,INC2535,33.1
2013,1,656.0,1,2,INC3550,31.1
2013,1,719.0,1,2,INC5075,35.8
2013,1,1029.0,1,2,INC75PLUS,26.9
2013,1,1255.0,1,2,INCNR,28.9
2013,1,882.0,1,3,INCLESS15,31.4
2013,1,1115.0,1,3,INC1525,33.9
2013,1,588.0,1,3,INC2535,35.2
2013,1,656.0,1,3,INC3550,40.7
2013,1,719.0,1,3,INC5075,38.0
2013,1,1029.0,1,3,INC75PLUS,36.7
2013,1,1255.0,1,3,INCNR,35.3
2013,1,816.0,0,0,INCLESS15,49.3
2013,1,1040.0,0,0,INC1525,50.4
2013,1,572.0,0,0,INC2535,46.3
2013,1,640.0,0,0,INC3550,44.8
2013,1,710.0,0,0,INC5075,45.1
2013,1,1018.0,0,0,INC75PLUS,41.9
2013,1,1179.0,0,0,INCNR,44.8
2013,1,1007.0,0,1,INC75PLUS,15.9
2013,1,1143.0,0,1,INCNR,27.7
2013,1,704.0,0,1,INC5075,17.1
2013,1,550.0,0,1,INC2535,25.7
2013,1,640.0,0,1,INC3550,22.1
2013,1,806.0,0,1,INCLESS15,36.3
2013,1,1021.0,0,1,INC1525,36.1
2013,1,809.0,2,4,INCLESS15,36.3
2013,1,1035.0,2,4,INC1525,42.1
2013,1,1171.0,2,4,INCNR,40.8
2013,1,557.0,2,4,INC2535,45.0
2013,1,626.0,2,4,INC3550,47.4
2013,1,712.0,2,4,INC5075,48.3
2013,1,798.0,2,5,INCLESS15,9.4
2013,1,1026.0,2,5,INC1525,14.3
2013,1,553.0,2,5,INC2535,18.0
2013,1,622.0,2,5,INC3550,15.2
2013,1,707.0,2,5,INC5075,20.1
2013,1,999.0,2,5,INC75PLUS,18.7
2013,1,1141.0,2,5,INCNR,15.1
2013,1,840.0,2,7,INCLESS15,16.8
2013,1,803.0,2,6,INCLESS15,22.2
2013,1,1027.0,2,6,INC1525,23.8
2013,1,552.0,2,6,INC2535,31.2
2013,1,625.0,2,6,INC3550,26.9
2013,1,711.0,2,6,INC5075,30.3
2013,1,995.0,2,6,INC75PLUS,33.5
2013,1,1164.0,2,6,INCNR,23.6
2013,1,1016.0,2,7,INC75PLUS,27.9
2013,1,1062.0,2,7,INC1525,22.9
2013,1,720.0,2,7,INC5075,28.4
2013,1,1218.0,2,7,INCNR,25.5
2013,1,576.0,2,7,INC2535,29.8
2013,1,651.0,2,7,INC3550,21.9
2013,1,851.0,2,8,INCLESS15,40.3
2013,1,1076.0,2,8,INC1525,37.9
2013,1,580.0,2,8,INC2535,31.6
2013,1,654.0,2,8,INC3550,28.1
2013,1,727.0,2,8,INC5075,27.8
2013,1,1023.0,2,8,INC75PLUS,21.6
2013,1,1253.0,2,8,INCNR,33.9
2014,1,1108.0,1,2,INCLESS15,34.5
2014,1,1406.0,1,2,INC1525,40.6
2014,1,776.0,1,2,INC2535,35.4
2014,1,986.0,1,2,INC3550,35.5
2014,1,959.0,1,2,INC5075,32.4
2014,1,1425.0,1,2,INC75PLUS,31.0
2014,1,1530.0,1,2,INCNR,28.0
2014,1,1108.0,1,3,INCLESS15,27.7
2014,1,1406.0,1,3,INC1525,30.2
2014,1,776.0,1,3,INC2535,28.6
2014,1,986.0,1,3,INC3550,37.9
2014,1,959.0,1,3,INC5075,40.6
2014,1,1425.0,1,3,INC75PLUS,35.4
2014,1,1530.0,1,3,INCNR,32.7
2014,1,1157.0,2,8,INCLESS15,40.5
2014,1,1450.0,2,8,INC1525,37.0
2014,1,804.0,2,8,INC2535,29.0
2014,1,1015.0,2,8,INC3550,22.3
2014,1,994.0,2,8,INC5075,21.3
2014,1,1467.0,2,8,INC75PLUS,16.6
2014,1,1752.0,2,8,INCNR,29.3
2011,0,271.0,1,2,INCLESS15,33.6
2011,0,377.0,1,2,INC1525,30.2
2011,0,224.0,1,2,INC2535,32.2
2011,0,397.0,1,2,INC3550,24.5
2011,0,524.0,1,2,INC5075,27.8
2011,0,1109.0,1,2,INC75PLUS,26.9
2011,0,434.0,1,2,INCNR,22.7
2011,0,271.0,1,3,INCLESS15,24.6
2011,0,377.0,1,3,INC1525,33.5
2011,0,224.0,1,3,INC2535,38.1
2011,0,397.0,1,3,INC3550,42.3
2011,0,524.0,1,3,INC5075,41.6
2011,0,1109.0,1,3,INC75PLUS,39.9
2011,0,434.0,1,3,INCNR,43.7
2011,0,388.0,0,0,INC3550,37.2
2011,0,1093.0,0,0,INC75PLUS,31.9
2011,0,515.0,0,0,INC5075,39.1
2011,0,416.0,0,0,INCNR,43.6
2011,0,357.0,0,0,INC1525,44.6
2011,0,212.0,0,0,INC2535,45.6
2011,0,250.0,0,0,INCLESS15,46.5
2011,0,236.0,0,1,INCLESS15,35.0
2011,0,354.0,0,1,INC1525,26.1
2011,0,217.0,0,1,INC2535,24.4
2011,0,389.0,0,1,INC3550,19.4
2011,0,521.0,0,1,INC5075,16.5
2011,0,1104.0,0,1,INC75PLUS,11.8
2011,0,412.0,0,1,INCNR,27.0
2011,0,358.0,2,4,INC1525,51.8
2011,0,414.0,2,4,INCNR,52.7
2011,0,442.0,2,7,INCNR,32.7
2011,0,231.0,2,5,INCLESS15,22.3
2011,0,349.0,2,5,INC1525,17.3
2011,0,209.0,2,5,INC2535,20.2
2011,0,385.0,2,5,INC3550,21.6
2011,0,512.0,2,5,INC5075,26.1
2011,0,1075.0,2,5,INC75PLUS,30.8
2011,0,405.0,2,5,INCNR,23.1
2011,0,242.0,2,6,INCLESS15,38.1
2011,0,353.0,2,6,INC1525,32.7
