yearend,locationabbr,sample_size,classid,questionid,stratificationid1,data_value
2011,1,1878.0,1,2,RACEBLK,40.1
2011,1,115.0,1,2,RACEHIS,28.6
2011,1,61.0,1,2,RACENAA,32.9
2011,1,58.0,1,2,RACE2PLUS,27.8
2011,1,1878.0,1,3,RACEBLK,30.1
2011,1,115.0,1,3,RACEHIS,34.5
2011,1,61.0,1,3,RACENAA,31.4
2011,1,58.0,1,3,RACE2PLUS,30.4
2011,1,110.0,0,0,RACEHIS,35.4
2011,1,57.0,0,0,RACE2PLUS,37.4
2011,1,1883.0,0,0,RACEBLK,39.5
2011,1,64.0,0,0,RACENAA,41.6
2011,1,1853.0,0,1,RACEBLK,36.1
2011,1,108.0,0,1,RACEHIS,11.3
2011,1,63.0,0,1,RACENAA,27.3
2011,1,55.0,0,1,RACE2PLUS,22.1
2011,1,1863.0,2,4,RACEBLK,40.6
2011,1,107.0,2,4,RACEHIS,37.9
2011,1,64.0,2,4,RACENAA,43.8
2011,1,55.0,2,4,RACE2PLUS,43.1
2011,1,1851.0,2,5,RACEBLK,16.3
2011,1,106.0,2,5,RACEHIS,13.0
2011,1,63.0,2,5,RACENAA,15.3
2011,1,54.0,2,5,RACE2PLUS,23.2
2011,1,1853.0,2,6,RACEBLK,22.0
2011,1,106.0,2,6,RACEHIS,24.4
2011,1,64.0,2,6,RACENAA,23.4
2011,1,55.0,2,6,RACE2PLUS,29.1
2011,1,65.0,2,7,RACENAA,20.6
2011,1,1928.0,2,7,RACEBLK,28.3
2011,1,57.0,2,7,RACE2PLUS,37.6
2011,1,113.0,2,7,RACEHIS,21.4
2011,1,1943.0,2,8,RACEBLK,34.8
2011,1,115.0,2,8,RACEHIS,42.5
2011,1,66.0,2,8,RACENAA,41.6
2011,1,58.0,2,8,RACE2PLUS,20.1
2012,1,2165.0,1,2,RACEBLK,44.1
2012,1,132.0,1,2,RACEHIS,24.1
2012,1,81.0,1,2,RACENAA,26.5
2012,1,87.0,1,2,RACE2PLUS,18.5
2012,1,54.0,1,2,RACEOTH,24.4
2012,1,2165.0,1,3,RACEBLK,31.2
2012,1,132.0,1,3,RACEHIS,34.3
2012,1,81.0,1,3,RACENAA,31.6
2012,1,87.0,1,3,RACE2PLUS,51.4
2012,1,54.0,1,3,RACEOTH,42.4
2012,1,2287.0,2,8,RACEBLK,30.2
2012,1,136.0,2,8,RACEHIS,21.5
2012,1,81.0,2,8,RACENAA,30.7
2012,1,91.0,2,8,RACE2PLUS,17.8
2012,1,55.0,2,8,RACEOTH,30.2
2013,1,1506.0,1,2,RACEBLK,41.3
2013,1,57.0,1,2,RACEHIS,28.2
2013,1,74.0,1,2,RACENAA,46.2
2013,1,1506.0,1,3,RACEBLK,34.4
2013,1,57.0,1,3,RACEHIS,35.2
2013,1,74.0,1,3,RACENAA,22.3
2013,1,1399.0,0,0,RACEBLK,42.7
2013,1,57.0,0,0,RACEHIS,39.4
2013,1,71.0,0,0,RACENAA,51.0
2013,1,70.0,0,1,RACENAA,32.5
2013,1,1385.0,0,1,RACEBLK,40.8
2013,1,56.0,0,1,RACEHIS,24.5
2013,1,1398.0,2,4,RACEBLK,42.5
2013,1,71.0,2,4,RACENAA,41.9
2013,1,1384.0,2,5,RACEBLK,17.2
2013,1,70.0,2,5,RACENAA,19.2
2013,1,71.0,2,6,RACENAA,21.3
2013,1,1392.0,2,6,RACEBLK,24.3
2013,1,54.0,2,7,RACEHIS,42.5
2013,1,1438.0,2,7,RACEBLK,26.7
2013,1,70.0,2,7,RACENAA,23.1
2013,1,1452.0,2,8,RACEBLK,34.1
2013,1,55.0,2,8,RACEHIS,33.2
2013,1,71.0,2,8,RACENAA,28.3
2013,1,50.0,2,8,RACE2PLUS,36.3
2015,45,1691.0,1,2,RACEOTH,24.3
2014,1,2029.0,1,2,RACEBLK,41.9
2014,1,70.0,1,2,RACEHIS,22.9
2014,1,90.0,1,2,RACENAA,35.2
2014,1,90.0,1,2,RACE2PLUS,39.3
2014,1,2029.0,1,3,RACEBLK,29.9
2014,1,70.0,1,3,RACEHIS,32.2
2014,1,90.0,1,3,RACENAA,33.6
2014,1,90.0,1,3,RACE2PLUS,35.2
2014,1,2171.0,2,8,RACEBLK,28.4
2014,1,77.0,2,8,RACEHIS,16.2
2014,1,95.0,2,8,RACENAA,36.7
2014,1,94.0,2,8,RACE2PLUS,16.5
2011,0,2425.0,1,2,RACEWHT,25.9
2011,0,84.0,1,2,RACEHIS,31.5
2011,0,477.0,1,2,RACENAA,30.9
2011,0,128.0,1,2,RACE2PLUS,23.3
2011,0,63.0,1,2,RACEOTH,35.5
2011,0,2425.0,1,3,RACEWHT,38.5
2011,0,84.0,1,3,RACEHIS,37.4
2011,0,477.0,1,3,RACENAA,37.2
2011,0,128.0,1,3,RACE2PLUS,41.9
2011,0,63.0,1,3,RACEOTH,29.8
2011,0,132.0,0,0,RACE2PLUS,29.2
2011,0,2373.0,0,0,RACEWHT,34.5
2011,0,61.0,0,0,RACEOTH,36.0
2011,0,439.0,0,0,RACENAA,47.7
2011,0,71.0,0,0,RACEHIS,51.7
2011,0,2387.0,0,1,RACEWHT,14.8
2011,0,72.0,0,1,RACEHIS,27.5
2011,0,432.0,0,1,RACENAA,36.7
2011,0,131.0,0,1,RACE2PLUS,17.9
2011,0,60.0,0,1,RACEOTH,18.6
2011,0,70.0,2,4,RACEHIS,46.5
2011,0,433.0,2,4,RACENAA,52.2
2011,0,130.0,2,4,RACE2PLUS,56.2
2011,0,58.0,2,4,RACEOTH,49.9
2011,0,75.0,2,7,RACEHIS,30.9
2011,0,2345.0,2,5,RACEWHT,26.8
2011,0,68.0,2,5,RACEHIS,15.7
2011,0,418.0,2,5,RACENAA,17.4
2011,0,2417.0,2,7,RACEWHT,35.9
2011,0,128.0,2,5,RACE2PLUS,25.1
2011,0,57.0,2,5,RACEOTH,32.9
2011,0,2350.0,2,6,RACEWHT,40.0
2011,0,70.0,2,6,RACEHIS,34.0
2011,0,428.0,2,6,RACENAA,33.8
2011,0,128.0,2,6,RACE2PLUS,33.3
2011,0,58.0,2,6,RACEOTH,30.1
2011,0,454.0,2,7,RACENAA,23.3
2011,0,61.0,2,7,RACEOTH,42.3
2011,0,132.0,2,7,RACE2PLUS,26.9
2011,0,2444.0,2,8,RACEWHT,18.9
2011,0,78.0,2,8,RACEHIS,23.5
2011,0,472.0,2,8,RACENAA,31.7
2011,0,134.0,2,8,RACE2PLUS,30.2
2011,0,63.0,2,8,RACEOTH,35.6
2012,0,2782.0,1,2,RACEWHT,26.0
2012,0,55.0,1,2,RACEBLK,39.0
2012,0,122.0,1,2,RACEHIS,21.1
2012,0,748.0,1,2,RACENAA,31.9
2012,0,154.0,1,2,RACE2PLUS,22.4
2012,0,84.0,1,2,RACEOTH,21.5
2012,0,2782.0,1,3,RACEWHT,39.6
2012,0,55.0,1,3,RACEBLK,35.8
2012,0,122.0,1,3,RACEHIS,44.1
2012,0,82.0,1,3,RACEASN,38.9
2012,0,748.0,1,3,RACENAA,37.0
2012,0,154.0,1,3,RACE2PLUS,36.8
2012,0,84.0,1,3,RACEOTH,31.2
2012,0,2930.0,2,8,RACEWHT,15.5
2012,0,59.0,2,8,RACEBLK,37.7
2012,0,130.0,2,8,RACEHIS,15.3
2012,0,88.0,2,8,RACEASN,23.0
2012,0,799.0,2,8,RACENAA,27.8
2012,0,162.0,2,8,RACE2PLUS,16.8
2012,0,89.0,2,8,RACEOTH,20.7
2013,0,3194.0,1,2,RACEWHT,26.4
2013,0,65.0,1,2,RACEBLK,39.5
2013,0,125.0,1,2,RACEHIS,31.7
2013,0,92.0,1,2,RACEASN,30.3
2013,0,621.0,1,2,RACENAA,33.6
2013,0,184.0,1,2,RACE2PLUS,23.2
2013,0,3194.0,1,3,RACEWHT,39.9
2013,0,65.0,1,3,RACEBLK,27.8
2013,0,125.0,1,3,RACEHIS,37.7
2013,0,92.0,1,3,RACEASN,29.8
2013,0,621.0,1,3,RACENAA,33.2
2013,0,184.0,1,3,RACE2PLUS,35.7
2013,0,3104.0,0,0,RACEWHT,37.0
2013,0,61.0,0,0,RACEBLK,26.1
2013,0,128.0,0,0,RACEHIS,48.9
2013,0,85.0,0,0,RACEASN,46.5
2013,0,581.0,0,0,RACENAA,49.3
2013,0,177.0,0,0,RACE2PLUS,43.0
2013,0,125.0,2,7,RACEHIS,31.0
2013,0,124.0,0,1,RACEHIS,20.1
2013,0,83.0,0,1,RACEASN,28.3
2013,0,61.0,0,1,RACEBLK,27.7
2013,0,173.0,0,1,RACE2PLUS,25.5
2013,0,3069.0,0,1,RACEWHT,15.2
2013,0,572.0,0,1,RACENAA,30.7
2013,0,59.0,2,4,RACEBLK,44.5
2013,0,123.0,2,4,RACEHIS,54.0
2013,0,82.0,2,4,RACEASN,48.4
2013,0,552.0,2,4,RACENAA,49.2
2013,0,172.0,2,4,RACE2PLUS,51.2
2013,0,3000.0,2,5,RACEWHT,25.8
2013,0,58.0,2,5,RACEBLK,30.6
2013,0,123.0,2,5,RACEHIS,20.5
2013,0,80.0,2,5,RACEASN,28.7
2013,0,541.0,2,5,RACENAA,18.4
2013,0,168.0,2,5,RACE2PLUS,29.4
2013,0,3014.0,2,6,RACEWHT,37.8
2013,0,59.0,2,6,RACEBLK,27.5
2013,0,122.0,2,6,RACEHIS,38.7
2013,0,82.0,2,6,RACEASN,36.1
2013,0,546.0,2,6,RACENAA,34.4
2013,0,170.0,2,6,RACE2PLUS,29.5
2013,0,3082.0,2,7,RACEWHT,35.9
2013,0,61.0,2,7,RACEBLK,53.5
2013,0,80.0,2,7,RACEASN,48.5
2013,0,570.0,2,7,RACENAA,26.0
2013,0,172.0,2,7,RACE2PLUS,40.5
2013,0,3120.0,2,8,RACEWHT,20.5
2013,0,62.0,2,8,RACEBLK,23.3
2013,0,126.0,2,8,RACEHIS,23.8
2013,0,82.0,2,8,RACEASN,26.7
2013,0,589.0,2,8,RACENAA,28.9
