yearend,locationabbr,sample_size,classid,questionid,stratificationid1,data_value
2011,1,7304.0,1,2,OVERALL,32.0
2011,1,7304.0,1,3,OVERALL,34.7
2011,1,7231.0,0,0,OVERALL,43.8
2011,1,7135.0,0,1,OVERALL,24.3
2011,1,7191.0,2,4,OVERALL,42.4
2011,1,7145.0,2,5,OVERALL,15.0
2011,1,7152.0,2,6,OVERALL,23.9
2011,1,7415.0,2,7,OVERALL,24.7
2011,1,7470.0,2,8,OVERALL,32.6
2012,1,8651.0,1,2,OVERALL,33.0
2012,1,8651.0,1,3,OVERALL,34.8
2012,1,9014.0,2,8,OVERALL,27.2
2013,1,6244.0,1,2,OVERALL,32.4
2013,1,6244.0,1,3,OVERALL,35.7
2013,1,5975.0,0,0,OVERALL,46.0
2013,1,5871.0,0,1,OVERALL,25.8
2013,1,5915.0,2,4,OVERALL,45.4
2013,1,5846.0,2,5,OVERALL,15.9
2013,1,5877.0,2,6,OVERALL,27.3
2013,1,6083.0,2,7,OVERALL,24.9
2013,1,6164.0,2,8,OVERALL,31.5
2014,1,8190.0,1,2,OVERALL,33.5
2014,1,8190.0,1,3,OVERALL,33.4
2014,1,8639.0,2,8,OVERALL,27.6
2011,0,3336.0,1,2,OVERALL,27.4
2011,0,3336.0,1,3,OVERALL,38.9
2011,0,3231.0,0,0,OVERALL,38.7
2011,0,3233.0,0,1,OVERALL,19.7
2011,0,3166.0,2,5,OVERALL,25.0
2011,0,3186.0,2,6,OVERALL,37.7
2011,0,3294.0,2,7,OVERALL,33.8
2011,0,3349.0,2,8,OVERALL,22.0
2012,0,4093.0,1,2,OVERALL,25.7
2012,0,4093.0,1,3,OVERALL,39.1
2012,0,4336.0,2,8,OVERALL,18.5
2013,0,4396.0,1,2,OVERALL,28.4
2013,0,4396.0,1,3,OVERALL,37.7
2013,0,4252.0,0,0,OVERALL,39.7
2013,0,4197.0,0,1,OVERALL,19.2
2013,0,4079.0,2,5,OVERALL,25.1
2013,0,4104.0,2,6,OVERALL,36.4
2014,0,4142.0,1,2,OVERALL,29.7
2013,0,4207.0,2,7,OVERALL,36.0
2013,0,4275.0,2,8,OVERALL,22.3
2014,0,4142.0,1,3,OVERALL,35.1
2014,0,4378.0,2,8,OVERALL,19.2
2011,3,6150.0,1,2,OVERALL,25.1
2011,3,5981.0,1,3,OVERALL,37.8
2011,3,6105.0,0,0,OVERALL,38.0
2011,3,6003.0,0,1,OVERALL,20.6
2011,3,6197.0,2,8,OVERALL,24.1
2011,3,5915.0,2,5,OVERALL,24.2
2011,3,5961.0,2,6,OVERALL,33.1
2011,3,6087.0,2,7,OVERALL,32.5
2012,3,6951.0,1,2,OVERALL,26.0
2012,3,6951.0,1,3,OVERALL,36.0
2012,3,7285.0,2,8,OVERALL,22.6
2013,3,4029.0,1,2,OVERALL,26.8
2013,3,4029.0,1,3,OVERALL,35.1
2013,3,3866.0,0,0,OVERALL,39.5
2013,3,3807.0,0,1,OVERALL,23.8
2013,3,3777.0,2,4,OVERALL,51.9
2013,3,3724.0,2,5,OVERALL,22.0
2013,3,3758.0,2,6,OVERALL,34.0
2013,3,3830.0,2,7,OVERALL,31.0
2013,3,3910.0,2,8,OVERALL,25.2
2014,3,13849.0,1,2,OVERALL,28.9
2014,3,13849.0,1,3,OVERALL,35.1
2014,3,14829.0,2,8,OVERALL,21.2
2011,2,4527.0,1,2,OVERALL,30.9
2011,2,4527.0,1,3,OVERALL,33.9
2011,2,4391.0,0,0,OVERALL,47.5
2011,2,4284.0,0,1,OVERALL,28.6
2011,2,4268.0,2,4,OVERALL,45.7
2011,2,4220.0,2,5,OVERALL,16.7
2011,2,4239.0,2,6,OVERALL,27.8
2011,2,4397.0,2,7,OVERALL,24.7
2011,2,4449.0,2,8,OVERALL,30.9
2012,2,4943.0,1,2,OVERALL,34.5
2012,2,4943.0,1,3,OVERALL,34.2
2012,2,5174.0,2,8,OVERALL,31.5
2013,2,5023.0,1,2,OVERALL,34.6
2013,2,5023.0,1,3,OVERALL,35.3
2013,2,4794.0,0,0,OVERALL,50.5
2013,2,4673.0,0,1,OVERALL,28.0
2013,2,4871.0,2,8,OVERALL,34.4
2013,2,4663.0,2,4,OVERALL,41.2
2013,2,4599.0,2,5,OVERALL,13.8
2013,2,4642.0,2,6,OVERALL,25.6
2013,2,4774.0,2,7,OVERALL,22.3
2014,2,4886.0,1,2,OVERALL,35.9
2014,2,4886.0,1,3,OVERALL,34.7
2014,2,5250.0,2,8,OVERALL,30.7
2012,4,13646.0,1,2,OVERALL,25.0
2011,4,17088.0,1,2,OVERALL,23.8
2011,4,17088.0,1,3,OVERALL,36.4
2011,4,16387.0,0,0,OVERALL,30.4
2011,4,16191.0,0,1,OVERALL,16.5
2012,4,13671.0,2,8,OVERALL,19.2
2011,4,16661.0,2,5,OVERALL,23.7
2011,4,16716.0,2,6,OVERALL,36.1
2011,4,16777.0,2,7,OVERALL,32.1
2011,4,16927.0,2,8,OVERALL,19.1
2012,4,13646.0,1,3,OVERALL,35.3
2013,4,10669.0,1,2,OVERALL,24.1
2013,4,10669.0,1,3,OVERALL,36.0
2011,6,6588.0,2,8,OVERALL,25.5
